can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"DE  LA  FUENTE, ROQUE ROCKY",P,US,DEM,OPEN,13156,3877,17033.13,,,17033.13,7635008.47,4306590.04,,,7627848.16,,7160.31,181262.42,33899000.29,
"DE LA FUENTA, ROQUE ROCKY",S,FL,DEM,CHALLENGER,,140,140,,,140,875382,874534,,,874534,,848,140,874534,
"DEACON, COLLEEN",H,NY,DEM,CHALLENGER,735596.43,272707.24,1008303.67,6783.36,295548.24,1310635.27,1323419.88,1286649.92,3345.36,,1289995.28,,33424.6,1307289.91,1286649.92,
"DEAN, ANDRE",H,TX,REP,CHALLENGER,7650,3664,11314,,,10314,13568,11602,,,15906,,,11314,11602,
"DEAN, DANIEL LANE",P,US,UNK,OPEN,,,,,,,,,,,,,,,,
"DEEB, GREGORY PATRICK",H,TX,REP,CHALLENGER,114792.49,14109.7,128902.19,,,139328.22,195328.22,194988.76,,,194988.76,,339.46,139328.22,194988.76,
"DEFAZIO, PETER A",H,OR,DEM,INCUMBENT,327126.94,257009.92,584136.86,,788991.58,1373128.44,1376746.79,542848.93,12572.87,124650,680071.8,96447.57,793122.56,1360555.57,539606.18,Y
"DEGETTE, DIANA L.",H,CO,DEM,INCUMBENT,470882.29,45455.26,516337.55,,679789.3,1196126.85,1196430.52,773210.76,485.29,323650,1097346.05,20157.16,119241.63,1195641.56,772980.76,Y
"DEGNER, KAI",H,VA,DEM,CHALLENGER,81812.57,52148.28,133960.85,2500,5939,142399.85,142399.85,117073.56,,,117073.56,,25326.29,142399.85,117073.56,
"DEL BECCARO, THOMAS",S,CA,REP,OPEN,291610,155301,446911,,3000,449911,469911,488820,18100,3040,519960,,3838,431811,488820,
"DEL ROSSO, MICHAEL JOSEPH MR.",H,VA,REP,OPEN,84287.92,8350,92637.92,,5000,97637.92,97637.92,94526.89,2800,,97326.89,,311.03,94837.92,94526.89,
"DEL VECCHIO, KENNETH",H,NY,REP,CHALLENGER,9289,6731,16020,,,17705,64455,64324.53,,137.15,64461.68,,-6.68,17705,64324.53,
"DELANEY, JOHN K",H,MD,DEM,INCUMBENT,895131,8655.8,903786.8,26.26,631600,1602913.06,1675981.05,1343077.34,2400,105816,1451293.34,24504.22,249191.93,1600513.06,1340009.35,Y
"DELARUO, ROSA L",H,CT,DEM,INCUMBENT,454564.68,44839.24,499403.92,,534295.55,1033699.47,1035084.3,539556.49,,444700,984256.49,19365.19,70193,1033699.47,538356.49,Y
"DELBENE, SUZAN K",H,WA,DEM,INCUMBENT,867357.05,153360.4,1020717.45,1184,849075.95,1870977.4,1928448.37,999515.57,12503.07,419625,1431643.64,98648.05,595452.78,1858474.33,983829.87,Y
"DELGADO, ELOY JAVIER MR.",H,NJ,DEM,CHALLENGER,1850,6535.49,8385.49,,,8385.49,14645.49,11047.49,,,11047.49,,3724.59,8385.49,11047.49,
"DEMARE, JOSEPH ROSARIO",S,OH,GRE,CHALLENGER,1831,4165,5996,1000,,9094,10541,10051,61,,10112,,428,9033,10051,
"DEMAREE, ANGELA JO",H,IN,DEM,CHALLENGER,65049.8,39480.04,104529.84,6916.1,32400,145409.72,145769.19,74423.91,,,74423.91,,71345.28,145409.72,74098.11,
"DEMINGS, VALDEZ VAL",H,FL,DEM,CHALLENGER,126610,13731,140341,,20500,160841,165168.08,10688.35,2700,1000,14388.35,,150779.73,158141,10688.35,
"DEMINGS, VALDEZ 'VAL'",H,FL,DEM,CHALLENGER,643135.86,192944.15,836080.01,,503341.45,1340971.46,1351988.98,1155618.7,7328.45,133400,1296347.15,,55641.83,1333643.01,1155391.62,Y
"DENHAM, JEFF",H,CA,REP,INCUMBENT,881790.83,36661.92,918452.75,,1694496.36,2612949.11,2752532,2684478.77,5600,141.48,2690220.25,1164430.33,1226742.08,2607349.11,2682815.61,Y
"DENHAM, JOE",H,PA,DEM,CHALLENGER,17260,885,18145,,,63145,63242.5,44771.94,18145,,62916.94,,325.56,45000,44674.44,
"DENT, CHARLES W. REP.",H,PA,REP,INCUMBENT,532879,34212,567091,,987904.99,1554995.99,1563907.61,931106.67,5816.67,457000,1393923.34,937815.58,1107799.85,1549179.32,929763.67,Y
"DEPEW, JENNIFER ROBIN",P,US,IND,OPEN,,,,,,100,5106.02,81.04,,,5082.04,,23.98,100,81.04,
"DERICKSON, TIMOTHY",H,OH,REP,CHALLENGER,188247.13,40881,229128.13,5000,60883.81,295011.94,315411.94,305361.94,5050,,315411.94,,,289961.94,304961.94,
"DERLET, ROBERT WAYNE",H,CA,DEM,CHALLENGER,26922,44305.78,71227.78,2100,18350.16,92677.94,93477.94,68725.76,250,650,69625.76,,23852.18,92427.94,68725.76,
"DERRICK, WILLIAM MIKE",H,NY,DEM,CHALLENGER,879947.63,126814.49,1006762.12,6992.76,150470.38,1164225.26,1165283.09,1100902.01,2800,,1103702.01,,61581.08,1161425.26,1099844.18,
"DESANTIS, RONALD D.",H,FL,REP,INCUMBENT,3789092.5,502763.16,4291857.66,,505510.38,4799868.04,4909124.13,3486267.49,199201.33,21450,3707018.82,709750.87,1911856.29,4600666.71,3435710.49,Y
"DESAULNIER, MARK",H,CA,DEM,INCUMBENT,245044.24,42262.74,287306.98,8.67,280730,568045.65,571308.91,290865.73,1000,109825,401690.73,20826.27,190444.45,567045.65,287602.47,Y
"DESJARLAIS, SCOTT HON.",H,TN,REP,INCUMBENT,386470,14035,400505,,192168,592673,592673.43,502132.61,200,,502332.61,24938.67,115279.49,592473,502132.61,Y
"DETCH, MATTHEW PAUL",H,WV,DEM,CHALLENGER,54837,1030.45,55867.45,,,64867.45,64867.45,45137.3,,,45137.3,,19730.15,64867.45,45137.3,
"DETERT, RYAN",H,CA,REP,CHALLENGER,,1482.59,1482.59,,,1482.59,10325.81,9445.92,,,10325.81,,,1482.59,9445.92,
"DETZEL, DENIS",H,IL,REP,CHALLENGER,,,,,,,,,,,,,,,,
"DEUSER, AUGUST (O'NEILL)",H,IL,REP,CHALLENGER,,6420,6420,,,20656,20656,20150,,,20150,,193,20656,20150,
"DEUTCH, THEODORE ELIOT",H,FL,DEM,INCUMBENT,1046052,31628.68,1077680.68,,384700,1462380.68,1464636.39,1317728.57,3500,232915.33,1554143.9,529966.35,440458.84,1458880.68,1315472.86,Y
"DEW, HAROLD POWELL JR",H,NC,REP,CHALLENGER,2820,2875,5695,903,50,10648,20648,19656.14,,,19656.14,,991.86,10648,19656.14,
"DIAZ-BALART, MARIO",H,FL,REP,INCUMBENT,399747.65,3213.88,402961.53,307.8,885381.69,1288651.02,1305509.59,1119915.86,6450,7099.99,1133465.85,635365.25,807408.99,1282201.02,1109604.27,Y
"DICHIARA, LARRY",H,AL,REP,CHALLENGER,11378.5,6339.54,17718.04,,,17718.04,64791.68,67148.66,,,67148.66,,-2356.98,17718.04,67148.66,
"DICIANNI, PETER",H,IL,REP,OPEN,231387.39,29526.17,260913.56,1000,34660,296573.56,296573.56,155232.15,40999,14275,210506.15,,86067.41,255574.56,155232.15,
"DICKERSON, JOHN MARTIN",S,IN,DEM,OPEN,52925,14432,67357,,,72798,72914,72885,,,72885,,29,72798,72769,
"DICKINSON, MICHAEL ROBERT",H,VA,DEM,CHALLENGER,,,,,,,,,,,,,,,,
"DIDIER, CLINT",H,WA,REP,CHALLENGER,53176,8770.99,61946.99,,,61946.99,62282.49,45212.77,,,45212.77,4000,21069.72,61946.99,45207.27,
"DINGELL, DEBBIE",H,MI,DEM,INCUMBENT,496288.24,62051.46,558339.7,22.22,540150,1098511.92,1099298.06,750016.73,2500,13602.03,924983.76,327970.56,506268.46,1096011.92,749230.59,Y
"DITTMAR, JANE DESIMONE",H,VA,DEM,OPEN,784752.58,251203.66,1035956.24,,114862.1,1156018.34,1156482.23,1067752.34,4719.43,396.73,1072868.5,,83613.63,1151298.91,1067752.34,
"DIXON, THOMAS ALAN",S,SC,DEM,CHALLENGER,24121,8726,19680,250,3450,36547,36598,32828,,,32828,,3769,23380,18788,
"DOGGETT, LLOYD",H,TX,DEM,INCUMBENT,527437.39,49649.42,577086.81,,274400.42,851487.23,885581.06,156355.79,,200520,356875.79,3041610.89,3570316.16,851487.23,156149.19,Y
"DOLD, ROBERT JAMES JR",H,IL,REP,INCUMBENT,2693485.29,125501.38,2818986.67,,2099294.24,4918280.91,5090564.86,4223169.75,41106.68,9375,4273651.43,191656.25,1008569.68,4877174.23,4216039.83,
"DOMINO, CARL J",H,FL,REP,OPEN,46650,9078.32,55728.32,,500,56228.32,587525.81,579042.94,145,,579187.94,2406.59,10744.46,56083.32,576643.44,
"DONNELLY, TIM",H,CA,REP,CHALLENGER,61305,17165.15,78470.15,,1500,89693.7,89883.21,85883.21,4000,,89883.21,,,85693.7,85806.7,
"DONOVAN, DAN",H,NY,REP,INCUMBENT,958198.12,93623.18,1051821.3,5000,755183.19,1812004.49,1903877.67,1464090.13,22125,24225,1510440.13,,393437.54,1789879.49,1460930.13,Y
"DOSEV, CRIS",H,FL,REP,OPEN,74033,10665.03,84698.03,,3000,87698.03,482706.93,456707.68,300,,467007.68,,15699.25,87398.03,456698.78,
"DOUGLAS, RICHARD JAMES",S,MD,REP,OPEN,15409,3359,18769,,5000,23924,23924,21394,2500,,23894,,,21424,21394,
"DOYLE, COLIN B",P,US,IND,OPEN,300,575,875,,,875,6062.93,6062.25,,,6062.25,,,875,6062.25,
"DOYLE, MIKE",H,PA,DEM,INCUMBENT,142288,2691.44,144979.44,,637734.26,782713.7,786805.57,457290.79,5000,243295,705585.79,210531.58,291751.36,777713.7,454476.55,Y
DR RITA RAMIREZ,H,CA,DEM,CHALLENGER,4201.08,1160,5361.08,280,,5641.08,35743.12,31479.31,,125,31604.31,,4138.81,5641.08,31479.31,
"DRAKE, RON",H,IN,DEM,CHALLENGER,1050,700,950,500,500,2750,10250,9261,,,9261,,1265,2750,9261,
"DREW, ARTHUR",P,US,IND,OPEN,,,,,,6075,6075,5396,,,5821,,253,,,
"DRISKELL, GRETCHEN",H,MI,DEM,CHALLENGER,1340571.59,343358.37,1683929.96,500,462320.88,2146750.84,2207699.84,1839833.42,9775.5,11495.52,1871104.44,,336595.4,2136975.34,1839833.42,
"D'SILVA, REUBEN",H,NV,NON,CHALLENGER,9835,8812.03,18647.03,,,23690.03,23690.03,22038.17,,,22038.17,,1007.06,23690.03,22038.17,
"DUCKWALD, WANDA GAYLE",P,US,REP,OPEN,9387,,7387,,,15637,17387,15237,,,14517,2000,3000,,,
"DUCKWORTH, L TAMMY",S,IL,DEM,CHALLENGER,7220766,4707798,11928570,59300,1176808,13164681,15111231,12419238,104873,440385,12991223,,2520008,13059804,12412571,Y
"DUFFIE, RYAN",H,NC,REP,CHALLENGER,4640,1945,6585,,,6585,6585,5971.83,,,6051.83,,-54.64,6585,5971.83,
"DUFFY, SEAN",H,WI,REP,INCUMBENT,864648.87,173912.9,1038561.77,300,1127247.98,2166109.75,2195735.86,1659570.99,32700,38260,1762530.99,674413.06,1107617.93,2133409.75,1651672.2,Y
"DUKE, DAVID E DR",S,LA,REP,OPEN,54568,63453,118021,,,118021,140332,87322,2565,,89887,,50444,115455,87322,
"DUKE, GREGORY PAUL",H,GA,REP,CHALLENGER,22855,6340,29195,500,,29695,38960,34813.29,,,34813.29,301.78,4448.49,29695,34813.29,
"DUNCAN, JAMES",H,NC,REP,CHALLENGER,294805.71,56344.63,351150.34,,17800,521450.34,535238.12,391180.17,47136.95,22700,461017.12,,74221,474313.39,377392.39,
"DUNCAN, JEFFREY D MR.",H,SC,REP,INCUMBENT,179135.62,58525.19,237660.81,,316300,553960.81,554343.81,394703.05,6500,206549.16,607752.21,162264.25,108855.85,547460.81,394520.05,Y
"DUNCAN, JOHN J REP. JR.",H,TN,REP,INCUMBENT,83250,3945,87195,,230231.1,317426.1,339483.6,404115.55,,20965,425080.55,1086528.87,1000931.92,317426.1,401862.55,Y
"DUNCAN, LARRY WELDON",P,US,NNE,OPEN,639,,639,,,4659,4563,4140,,,3485,100,,,,
"DUNN, JOSEPH",H,CA,DEM,OPEN,369684,11866.99,381550.99,,45850,427400.99,427483.68,390112.64,31585,5675,427372.64,,111.04,395815.99,390112.64,
"DUNN, NEAL PATRICK MD, FACS",H,FL,REP,OPEN,954432.7,53216.66,1007649.36,2300,284150,1299519.52,1894525.52,1743649.09,1800,3000,1810067.89,,81539.11,1297719.52,1743643.09,Y
"DUOME, MARC DR.",H,PA,REP,OPEN,5950,3376,9326,,,9326,11326,11151.59,,,11326,,,9326,11151.59,
"DUTRA, NORMAN",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"EALY, LARRY ELLIS",P,US,DEM,OPEN,,,,,,,45,1430,,,1430,700,,,,
"EDWARDS, ADRIENNE NICOLE",H,CA,DEM,CHALLENGER,,20,20,,,20,20,1.8,,,1.8,,518.2,20,1.8,
"EDWARDS, DERRICK",S,LA,DEM,OPEN,8675,698,9373,,,9373,35402,19549,,,19549,,12112,30,19549,
"EDWARDS, DONNA FERN",S,MD,DEM,OPEN,2309444,1272003,3581449,,211051,3792502,3823666,3496638,304436,20355,3821433,,2233,3488065,3474473,
"EDWARDS, LA RESA",P,US,OTH,OPEN,,,,,,,,,,,,4300,4300,,,
"EGGMAN, MICHAEL RAY",H,CA,DEM,CHALLENGER,816931.23,149519.42,966450.65,5000,301224.56,1272675.21,1294801.13,1106002.44,3973.67,1000,1110976.11,3088.7,186913.72,1268701.54,1090126.52,
"EISENBACH, DAVID",H,NY,DEM,CHALLENGER,8400,210,8610,,,8610,16110,14500,,,14500,,1610,8610,14500,
"ELDRIDGE, CONNER",S,AR,DEM,CHALLENGER,1307713,179942,1487657,,138950,1643207,1864550,1804590,9280,700,1814570,,49979,1633927,1803247,
"ELIZONDO, DOLLY",H,TX,DEM,OPEN,135813.75,25375,161188.75,4000,21000,186394.88,351515.31,332445.28,18750,1700,352895.28,,-1379.97,167644.88,332324.85,
"ELLIOTT, CLAIRE ELISABETH",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"ELLISON, ALLEN L",H,FL,DEM,CHALLENGER,6800,5725.9,12525.9,,,12525.9,18086.74,10918.82,,,16418.82,,1667.92,12525.9,10857.98,
"ELLISON, GREGORY W LT COL",H,LA,REP,OPEN,442661.35,21172.39,463833.74,,13754.01,477632.75,532632.75,418198.48,8698.88,250,427147.36,,105485.39,468933.87,418198.48,
"ELLISON, KEITH MAURICE",H,MN,DEM,INCUMBENT,934008.98,1063994.48,1998003.46,,303750,2301753.46,2351470.42,1628028.8,6905.07,513663.73,2148597.6,162747.78,365620.6,2294848.39,1622329.1,Y
"ELLMERS, RENEE JACISIN",H,NC,REP,INCUMBENT,252113.64,30273.03,282386.67,,1087908.02,1370294.69,1390817.73,1374976.11,103707.92,61025,1539709.03,152145.65,3254.35,1266586.77,1365951.95,
"EMERY, ED",H,FL,DEM,CHALLENGER,83513.55,,83513.55,,,83513.55,182204.42,103059.18,8212.19,,111271.37,,71794.81,75301.36,103059.18,
"EMMER, THOMAS EARL JR.",H,MN,REP,INCUMBENT,702945.46,188861.93,891807.39,,757780,1649587.39,1775297.95,1178800.31,14400,157503,1375703.31,18199.74,417793.38,1635187.39,1178785.31,Y
"EMRIT, RONALD SATISH",P,US,DEM,OPEN,,,,,,,,,,,,,,,,
"ENDRISS, DONALD",H,FL,NPA,CHALLENGER,,,,,,,25000,8459.36,,,23459.36,,1540.64,,8459.36,
"ENGEL, ELIOT L. REP.",H,NY,DEM,INCUMBENT,1002796,6040.27,1008836.27,,444457.53,1453293.8,1453558.8,725588.89,1000,320200,1046788.89,273986.6,680756.51,1452293.8,725323.89,Y
"ERICKSON, MATTHEW D",H,MN,REP,OPEN,53950,,53950,9369.6,,63319.6,64001.88,64841.11,,,64841.11,,14.88,63319.6,64841.11,
"ERVIN, VALERIE",H,MD,DEM,OPEN,21420,3331,24751,,5000,29751,29751,28213.62,,1250,29463.62,,-2938.88,29751,28213.62,
"ESHOO, ANNA G.",H,CA,DEM,INCUMBENT,662701.71,27631.92,690333.63,61.94,592992,1283387.57,1286712.18,847982.78,700,292139.6,1140822.38,343222.07,489111.87,1282687.57,846962.2,Y
"ESPAILLAT, ADRIANO",H,NY,DEM,OPEN,574477.98,32716.03,607194.01,,166735,773929.01,774015.23,597941.21,31090,6900.22,635931.43,6871.21,144955.01,742839.01,597941.21,Y
"ESPINOZA, MARIA L",H,TX,REP,CHALLENGER,19366.75,8920.17,28286.92,,,28337.48,87837.48,87749.97,,,87749.97,,14567.67,28337.48,87749.97,
"ESTY, ELIZABETH",H,CT,DEM,INCUMBENT,1155147.44,121487.38,1276634.82,4091.64,595428.89,1876155.35,1877000.94,783653.83,8825.46,107600,900079.29,47328.58,1024250.23,1867329.89,782972.74,Y
"EVANS, DWIGHT",H,PA,DEM,CHALLENGER,1042280.38,72430.64,1114711.02,,302834.2,1417545.22,1419270.92,1300557.53,10826.16,2200,1313583.69,,105687.23,1406719.06,1298831.83,Y
"EVANS, HUGH D MR JR",H,NV,DEM,CHALLENGER,81134.68,50870.06,132004.74,,50250,182254.74,185752.51,159914.37,525,,160439.37,,24563.14,181729.74,159914.37,
"EVANS, ROBERT S",H,CA,REP,CHALLENGER,2800,5,2805,,,2805,2905,2805,,,2805,,100,2805,2805,
"EVERS, GREG",H,FL,REP,OPEN,209443.05,6771,216214.05,,18500,234714.05,234714.05,205102.65,26900,,232002.65,,2711.4,207814.05,205102.65,
"EVERSON, MARK",P,US,REP,OPEN,47900,3622,51521.49,,,190203.2,430737.48,428037.48,2700,,430737.48,,,702080.32,1211479.84,
"FADDIS, CHARLES",H,MD,REP,CHALLENGER,79918,165032.21,244950.21,,3250,248200.21,271800.21,260240.43,8100,,268340.43,,3459.78,240100.21,260240.43,
"FAHMY, FATIMA RITA",H,FL,DEM,CHALLENGER,3975,27148.5,31123.5,,,31123.5,31123.5,2466.87,,,2466.87,11507,27870.63,31123.5,2466.87,
"FAPARUSI, YOMI DR. SR.",H,TN,REP,CHALLENGER,15337,9360,24697,,,24697,276397,20496.77,,,272196.77,32.31,4232.54,24697,20496.77,
"FAREED, JUSTIN",H,CA,REP,OPEN,1895563.77,42486.21,1938049.98,10000,182100,2130889.24,2139681.62,1797669.91,21360,3838.97,1822868.88,,316812.74,2109529.24,1788877.53,
"FARENTHOLD, RANDOLPH BLAKE",H,TX,REP,INCUMBENT,514664,25170.91,539834.91,,489266.77,1029101.68,1033693,957237.84,2250,3098,962585.84,47001.17,113767.84,1026851.68,954651.52,Y
"FARNELL, CHRISTOPHER",P,US,REP,OPEN,,,,,,,,,,,,,,,,
"FASO, JOHN J. MR.",H,NY,REP,OPEN,2096070.63,129818.07,2225888.7,17075,363606.06,2606574.76,2652487.16,2337884.8,5250,11778.28,2354913.08,,297574.08,2601324.76,2332231,Y
"FAUST, DANIL",H,LA,DEM,CHALLENGER,,10,10,,,10,7709,5066.05,,,5066.05,2632.95,5275.9,10,5066.05,
"FAYARD, CATHRYN CAROLINE",S,LA,DEM,OPEN,639703,37929,677633,,16000,693633,1585262,1509824,150,7908,1517882,,67378,693483,1508198,
"FEATHER, KATHLEEN M",H,NC,REP,CHALLENGER,,,,,,,,,,,690,690,,,,
"FEDALEI, CHRISTOPHER",H,SC,DEM,CHALLENGER,56473.7,29269.42,85743.12,,2940,91791.12,91791.12,88271.59,510,,88781.59,,3009.53,91281.12,88271.59,
"FEIGENBAUM, MARTIN",H,FL,REP,CHALLENGER,,,,,,30550,30707.07,29490,,1214,30705,,0.76,30550,24081,
"FEINGOLD, RUSSELL DANA",S,WI,DEM,CHALLENGER,11881336,8352767,20234108,46800,969185,21250095,21677292,18587564,197163,3548,18788281,,2889059,21052929,18584847,
"FELLURE, LOWELL JACKSON",P,US,REP,CHALLENGER,,,,,,,2858,,,,2112,590,590,,,
"FENSTERMAKER, SCOTT LLOYD MR.",H,NY,N/A,OPEN,3550,630,4180,,,4180,28220,14082.5,,,14082.5,3712.09,6515.77,4180,14082.5,
"FERGUSON, ANDERSON DREW IV",H,GA,REP,OPEN,670939.5,49651,720590.5,,467929.84,1188520.34,1188628.98,1031131.86,2650,27000,1060781.86,,127847.12,1185870.34,1031023.22,Y
"FERGUSON, JENNIFER GIGI",H,WA,DEM,CHALLENGER,4912.31,3469.71,8382.02,,,11495.04,11495.04,8817.79,,573.06,9390.85,,2104.19,11495.04,8817.79,
"FERGUSON, JOHN GREEN",P,US,OTH,OPEN,,,,,,200,200,200,,,200,,,,,
"FERRER RIOS, HECTOR",H,PR,DEM,OPEN,189910.33,34754.75,224665.08,,500,230245.08,230255.08,188786.25,,5000,193786.25,,16028.83,230245.08,188786.25,
"FETTERMAN, JOHN KART",S,PA,DEM,CHALLENGER,288520,434009,722533,,6750,759006,759764,761074,25,,761099,,-1335,758981,760316,
"FICKER, ROBIN K A",H,MD,REP,CHALLENGER,,,,,,,46683.22,46524.78,,,46524.78,,158.44,,46524.78,
"FIEGEN, THOMAS L",S,IA,DEM,CHALLENGER,5541.69,17387,22687,,4406.07,50458,50458,22429,,,22429,,28027,50458,15948,
"FILAK, MICHAEL A MR.",H,TX,DEM,CHALLENGER,11489.14,1578,13067.14,,,13067.14,19543.93,17866.73,881.14,796.06,19543.93,,,12186,17866.73,
"FIORE, MICHELE",H,NV,REP,OPEN,113127,320790.08,433917.08,,10000,443917.08,443917.08,420995.96,15800,,436795.96,,7121.12,428117.08,420995.96,
"FIORINA, CARLY",P,US,REP,OPEN,6409653,5636187,12045837.88,,20925,12066762.88,12205364.76,10909589.58,134435.19,330000,11374024.77,,831339.99,140460945.9,114767608.1,
"FISCHELLA, TYLER R",H,CA,REP,CHALLENGER,2250,490.29,2740.29,,,3502.65,3747.65,3747.65,,,3747.65,,,3502.65,3747.65,
"FITZPATRICK, BRIAN",H,PA,REP,OPEN,1131959.7,78689.48,1210649.18,5000,599980,1815629.18,1817132.96,1405669.43,18400,200,1424269.43,,392863.53,1797229.18,1404169.43,Y
"FITZPATRICK, ROGER ",H,GA,REP,CHALLENGER,10410,2335,12745,,,17965,17965,16049.02,,,16049.02,1980.05,1220.69,17965,16049.02,
"FLANAGAN, JACK",H,NH,REP,CHALLENGER,35650,4925.5,40575.5,,,40575.5,60575.5,57875.5,2700,,60575.5,,,37875.5,57875.5,
"FLANEGAN, CHARLES EDWARD JR",H,GA,REP,OPEN,700,50,750,,,750,153750,55005.51,,,110505.51,199.76,43444.25,750,55005.51,
"FLEISCHMANN, CHARLES J",H,TN,REP,INCUMBENT,960240.72,11228.14,971468.86,,622225.28,1593694.14,1596379.7,828760.21,5700,,1051967.76,52563.13,596975.07,1587994.14,827747.49,Y
"FLEMING, JOHN C JR",S,LA,REP,OPEN,1386989,325913,1712904,,66400,1779304,4314772,3769433,5400,6403,3781237,,533534,1773904,3755473,
"FLEMING-HODGE, LORI LYNN",P,US,IND,OPEN,,,,,,2000,996,1996,,,996,1000,125,,,
"FLINN, GEORGE S DR JR",H,TN,REP,OPEN,1150,598,1748,,,1748,3027559.25,3015905.42,50,,3015955.42,,11603.83,1698,3015905.42,
"FLIPPIN, AMEER XENOS MR.",P,US,W,OPEN,,,,,,26.86,84.31,39.69,,,86.02,11,3.35,26.86,39.69,
"FLORES, BILL",H,TX,REP,INCUMBENT,554722.98,22371.85,577094.83,,1091930.44,1669025.27,1699740.88,1260859.14,24074,59850,1586633.14,260249.62,373357.36,1644951.27,1260506.41,Y
"FLORES, LUCY",H,NV,DEM,CHALLENGER,338794.43,736845.8,1075640.23,,47360.75,1123000.98,1124080.82,1081039.19,24103.75,18610,1123752.94,,327.88,1098897.23,1079959.35,
"FLOWERS, MARGARET",S,MD,GRE,OPEN,41210,25512,66723,250,500,67573,67573,68452,,,68452,,-880,67573,68452,
"FLYNN, MICHAEL",H,IL,REP,OPEN,59371.67,88190.32,147561.99,,26337.36,173899.35,173899.35,173592.97,,,173592.97,,306.38,173899.35,173592.97,
"FLYNN, MICHAEL",H,MI,REP,OPEN,38725,3525,42250,,,42250,67252.81,53693.21,,,60693.21,,6559.6,42250,53693.21,
"FLYNN, SEAN MASAKI",H,CA,REP,CHALLENGER,130501,4283,134784,,,460041.76,1000221.25,630770.79,32700,,963470.79,,36750.46,427341.76,582872.38,
"FONTAINE, BERNARD ARTHUR",H,GA,REP,CHALLENGER,8800,2465,11265,,,17491.34,17491.34,6494.95,,8626.34,15121.29,,,17491.34,6494.95,
"FORBES, J. RANDY",H,VA,REP,INCUMBENT,1022724.9,94313.57,1117038.47,,493916.32,1610954.79,1614612.74,1889353.16,254906.03,9675,2153934.19,539432.71,111.26,1356048.76,1886224.1,
"FORLINI, ANTHONY G.",H,MI,REP,OPEN,54670,16303.97,70973.97,,13700,84673.97,120642.21,111294.1,,,119694.1,,948.11,84673.97,111294.1,
"FORTENBERRY, JEFFREY L. HONORABLE",H,NE,REP,INCUMBENT,417079.02,29868.38,446947.4,,309500,756447.4,761478.86,268820.36,500,78900,348220.36,1159346.64,1572605.14,755947.4,268820.36,Y
"FOSTER, G. WILLIAM (BILL)",H,IL,DEM,INCUMBENT,1822173.77,237403.4,2059577.17,14.02,708600,2768191.19,2768597.89,1035511.98,3425,228950,1363367.14,1067770.54,2473001.29,2764766.19,1035105.68,Y
"FOUGHT, STEVEN DEAN",H,OH,DEM,CHALLENGER,,,,,,250,250,114,,,114,,136,250,114,
"FOWLER, STEVEN C",H,TX,REP,CHALLENGER,3750,1615,5365,,,6275.64,10025.64,9918.7,,,9918.7,,,6275.64,9918.7,
"FOX, CHERUNDA LYNN",P,US,IND,OPEN,,25,25,,,33241,36288,36288,,,36288,,,,,
"FOX, RANDY",H,CA,REP,CHALLENGER,62200,1865,64065,,2000,67065,67065,67065,,,67065,,,67065,67065,
"FOX, RICHARD B",H,CA,REP,CHALLENGER,16256.2,1196.8,17453,,,17653,24153,18017.01,,,25279.76,762.75,-2054,17653,18017.01,
"FOXX, VIRGINIA ANN",H,NC,REP,INCUMBENT,779272.67,63199,842471.67,250,621996.1,1464717.77,1478566.34,988036.74,,6540.04,999576.78,2036911.71,2515901.27,1464717.77,986686.45,
"FRANKEL, LOIS J.",H,FL,DEM,INCUMBENT,941846.23,101331.06,1043177.29,22.22,540178.4,1583377.91,1583848.89,506780.87,4350,333246.63,844377.5,72755.81,812227.2,1579027.91,506462.37,Y
"FRANKS, TRENT",H,AZ,REP,INCUMBENT,132715,10418,143133,,194600,337733,337934.08,214927.42,735,14000,314662.42,6049.44,29321.1,336998,214726.34,Y
"FRASER, WILLIAM E",H,IL,IND,OPEN,500,371,871,,,1314,1829.56,1651.9,,,1651.9,,177.66,1314,1651.9,
"FRAZIER, BRIAN WAYNE",H,FL,REP,OPEN,18694.22,7037,25731.22,,,27815.34,27815.34,28160.87,,,28160.87,,-345.53,27815.34,28160.87,
"FRAZIER, RYAN LAVAR",S,CO,REP,CHALLENGER,236290,18846,255136,,5000,266503,419943,417759,,,417759,,2183,266503,417759,
"FREEMAN, APRIL JUNE",H,FL,DEM,CHALLENGER,78804.12,36008.79,114812.91,,2500,123659.91,123659.91,103987.22,,7549.18,111536.4,27534,47781.07,123659.91,103987.22,
"FREEMAN, MARC BENJAMIN",H,FL,REP,CHALLENGER,273847.1,5620,279467.1,,,286467.1,1907398.19,1905970.23,,,1905970.23,,1427.96,286467.1,1905795.23,
"FRELINGHUYSEN, RODNEY P.",H,NJ,REP,INCUMBENT,912624,68088,980712,6045,848062.94,1834819.94,1887451.71,909062.82,800,467840,1377702.82,147761.58,657510.47,1834019.94,907249.19,Y
